Date,Description,Amount
2026-03-02,STARBUCKS #4471 CHICAGO IL,6.85
2026-03-03,NETFLIX.COM,15.49
2026-03-04,HOME DEPOT #1922,142.30
2026-03-05,TRADER JOES #702,92.56
2026-03-06,ZOOM.US MONTHLY PLAN,15.99
2026-03-07,AMAZON MKTPL DESK LAMP,48.20
2026-03-09,UNITED AIRLINES CONF TRIP,312.40
2026-03-10,LOU MALNATI'S PIZZERIA,54.20
2026-03-12,SHELL OIL 574 GAS,41.00
2026-03-14,COSTCO WHSE #328,178.12
2026-03-15,APPLE.COM/BILL ICLOUD,2.99
2026-03-17,ACM DIGITAL LIBRARY MEMBERSHIP,99.00
2026-03-19,WHOLE FOODS MKT,63.44
2026-03-21,SPOTIFY USA,11.99
2026-03-23,STAPLES PRINTER PAPER,34.75
2026-03-25,VCA ANIMAL HOSPITAL,164.87
2026-03-27,OPENAI CHATGPT SUBSCRIPTION,20.00
2026-03-28,UBER TRIP DOWNTOWN,18.60
